codisi;;Updated at 23:37:09;Updated at 23:37:44;Updated at 23:37:58;Updated at 23:38:19;Updated at 23:39:15;Updated at 23:39:24;Updated at 23:39:37;Updated at 23:39:53;Updated at 23:40:08;Updated at 23:40:45;Updated at 23:40:57;Updated at 23:41:23;Updated at 23:42:00;Updated at 23:42:15;Updated at 23:42:56;Updated at 23:43:07;Updated at 23:43:29;Updated at 23:43:58;Updated at 23:44:20;Updated at 23:44:45;Updated at 23:45:13;Updated at 23:45:53;Updated at 23:46:10;Updated at 23:46:31;Updated at 23:46:47;Updated at 23:47:11
BRBSEGACNPR1;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BRBIVTACNPR9;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BRBESPACNPR2;;383760000;186076800;205171200;1581840000;1656720000;2208960000;3382891200;3631492800;6625880640;8873255818;9822577947;12496179045;13889163965;6119474956;6119474956;6119474956;6119474956;6119474956;6119474956;6119474956;6119474956;6119474956;6119474956;NULL;NULL;NULL
BRBEPAACNPR0;;5,99224E+11;8,0167E+11;4,66116E+11;571931034,5;189220000;143807200;145250000;508168300;499135680;594996200;594996200;594996200;594996200;594996200;594996200;594996200;594996200;594996200;594996200;594996200;594996200;594996200;594996200;NULL;NULL;NULL
BRBDLLACNPR8;;353469588,2;126751688,8;155429000;223487406,7;76800000;109120000;103984000;88016000;70416000;108028768;91200000;72047607,92;112000000;226024655,9;215984000;227184000;225600000;131200000;108800000;69021576;86896000;59216000;58400000;46400000;28000000;12912000
BRBCNAACNPR9;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BRBLPTACNPR5;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BRBCALACNPB7;;Unable to collect data for the field 'TR.CompanyMarketCap' and some specific identifier(s).;Unable to collect data for the field 'TR.CompanyMarketCap' and some specific identifier(s).;Unable to collect data for the field 'TR.CompanyMarketCap' and some specific identifier(s).;Unable to collect data for the field 'TR.CompanyMarketCap' and some specific identifier(s).;Unable to collect data for the field 'TR.CompanyMarketCap' and some specific identifier(s).;Unable to collect data for the field 'TR.CompanyMarketCap' and some specific identifier(s).;Unable to collect data for the field 'TR.CompanyMarketCap' and some specific identifier(s).;Unable to collect data for the field 'TR.CompanyMarketCap' and some specific identifier(s).;Unable to collect data for the field 'TR.CompanyMarketCap' and some specific identifier(s).;Unable to collect data for the field 'TR.CompanyMarketCap' and some specific identifier(s).;Unable to collect data for the field 'TR.CompanyMarketCap' and some specific identifier(s).;Unable to collect data for the field 'TR.CompanyMarketCap' and some specific identifier(s).;Unable to collect data for the field 'TR.CompanyMarketCap' and some specific identifier(s).;Unable to collect data for the field 'TR.CompanyMarketCap' and some specific identifier(s).;Unable to collect data for the field 'TR.CompanyMarketCap' and some specific identifier(s).;Unable to collect data for the field 'TR.CompanyMarketCap' and some specific identifier(s).;Unable to collect data for the field 'TR.CompanyMarketCap' and some specific identifier(s).;Unable to collect data for the field 'TR.CompanyMarketCap' and some specific identifier(s).;Unable to collect data for the field 'TR.CompanyMarketCap' and some specific identifier(s).;Unable to collect data for the field 'TR.CompanyMarketCap' and some specific identifier(s).;Unable to collect data for the field 'TR.CompanyMarketCap' and some specific identifier(s).;Unable to collect data for the field 'TR.CompanyMarketCap' and some specific identifier(s).;Unable to collect data for the field 'TR.CompanyMarketCap' and some specific identifier(s).;Unable to collect data for the field 'TR.CompanyMarketCap' and some specific identifier(s).;Unable to collect data for the field 'TR.CompanyMarketCap' and some specific identifier(s).;Unable to collect data for the field 'TR.CompanyMarketCap' and some specific identifier(s).
BRBBDCACNPR8;;20893473,1;4983367722;4613976871;10435817901;6473003794;15796319188;8899452246;11122194010;14712347408;21400833036;28749559510;57508417637;84896761134;1,02159E+11;70591655752;1,03389E+11;1,11588E+11;1,07132E+11;1,36029E+11;1,2767E+11;1,44078E+11;1,00419E+11;1,59999E+11;2,04284E+11;2,55892E+11;2,94128E+11
BRBRHAACNPR9;;NULL;NULL;NULL;NULL;NULL;NULL;18345015552;12258077;19872735056;27202849505;56440106940;54113553150;32616980677;42441731544;30750225083;98306349589;1,44416E+11;1,87648E+11;2,65433E+11;2,72234E+11;2,72234E+11;2,72234E+11;2,72234E+11;NULL;NULL;NULL
