;1 Percentil;2 Percentil;3 Percentil;4 Percentil;5 Percentil
01/02/2004;0.019;0.026;-0.012;0.011;-0.029
01/03/2004;-0.007;0.008;0.011;0.008;0.047
01/04/2004;-0.046;0.009;0.054;0.017;-0.016
01/05/2004;-0.005;-0.042;-0.028;-0.098;-0.134
01/06/2004;0.002;-0.004;-0.031;0.008;-0.005
01/07/2004;0.119;0.06;0.033;0.062;0.089
01/08/2004;0.045;0.08;0.046;0.071;0.107
01/09/2004;0.168;0.099;0.091;0.095;0.008
01/10/2004;0.178;0.076;0.026;0.036;0.082
01/11/2004;-0.001;0.031;0.038;-0.029;-0.004
01/12/2004;0.044;0.033;0.043;0.063;0.052
01/01/2005;0.239;0.085;0.042;0.059;0.029
01/02/2005;0.012;-0.016;0.008;-0.05;-0.051
01/03/2005;0.007;0.064;0.082;0.072;0.12
01/04/2005;0.011;0.021;0.021;-0.035;-0.078
01/05/2005;-0.031;-0.042;-0.035;-0.054;-0.1
01/06/2005;-0.041;0.022;-0.022;0.064;0.013
01/07/2005;-0.033;-0.022;-0.018;-0.015;-0.039
01/08/2005;-0.031;-0.001;0.01;0;0.054
01/09/2005;0.023;-0.008;0.055;0.012;0.014
01/10/2005;-0.008;0.025;0.039;0.093;0.106
01/11/2005;-0.02;-0.01;-0.005;-0.023;-0.02
01/12/2005;0.07;0.019;0.075;0.05;0.052
01/01/2006;0.007;0.056;0.08;0.057;0.025
01/02/2006;0.07;0.046;0.14;0.136;0.134
01/03/2006;0.026;0.044;0.036;0.042;0.009
01/04/2006;0.058;0.031;0.026;0.008;-0.019
01/05/2006;0.078;0.059;0.027;-0.009;0.032
01/06/2006;0.02;-0.018;-0.022;-0.048;-0.091
01/07/2006;-0.005;-0.024;-0.009;0.001;-0.017
01/08/2006;0.013;0.025;0.012;-0.038;-0.043
01/09/2006;0.059;-0.006;0.009;0.028;0.044
01/10/2006;0.026;-0.009;-0.025;0.009;-0.026
01/11/2006;0.069;0.064;0.055;0.069;0.046
01/12/2006;0.22;0.074;0.073;0.068;0.028
01/01/2007;0.148;0.119;0.161;0.081;0.088
01/02/2007;0.257;0.118;0.069;0.02;-0.032
01/03/2007;0.19;0.102;0.091;0.005;-0.025
01/04/2007;0.095;0.028;0.079;0.05;0.027
01/05/2007;0.157;0.095;0.069;0.059;0.07
01/06/2007;0.174;0.131;0.104;0.107;0.069
01/07/2007;0.159;0.166;0.044;0.045;0.042
01/08/2007;0.007;0.052;0.006;0;-0.027
01/09/2007;-0.043;0.008;-0.019;-0.023;-0.014
01/10/2007;-0.003;0.032;0.015;0.049;0.074
01/11/2007;0.053;0.028;0;0.025;-0.018
01/12/2007;-0.099;-0.017;-0.051;-0.088;-0.033
01/01/2008;0.09;0.034;0;-0.032;-0.018
01/02/2008;-0.002;-0.056;-0.116;-0.096;-0.031
01/03/2008;0.036;0.024;0.048;0.066;0.08
01/04/2008;-0.057;-0.012;-0.085;-0.087;-0.03
01/05/2008;0.02;0.007;0.064;0.114;0.008
01/06/2008;0.063;0.076;0.05;0.019;0.027
01/07/2008;-0.06;-0.054;-0.097;-0.104;-0.096
01/08/2008;-0.075;-0.044;-0.071;-0.017;-0.058
01/09/2008;-0.059;-0.077;-0.075;-0.077;-0.07
01/10/2008;-0.122;-0.155;-0.197;-0.202;-0.151
01/11/2008;-0.135;-0.159;-0.281;-0.228;-0.156
01/12/2008;-0.04;-0.058;-0.045;-0.077;-0.005
01/01/2009;0.091;0.044;0.125;0.111;0.085
01/02/2009;0.004;0.081;-0.023;0.011;-0.062
01/03/2009;-0.024;-0.04;-0.042;0;-0.039
01/04/2009;0.005;0;0.04;0.066;0.088
01/05/2009;0.164;0.218;0.28;0.235;0.146
01/06/2009;0.064;0.071;0.078;0.098;0.063
01/07/2009;0.013;0.024;0.019;-0.002;-0.017
01/08/2009;0.142;0.121;0.155;0.136;0.059
01/09/2009;-0.004;0.045;0.095;0.055;-0.004
01/10/2009;0.035;0.067;0.073;0.067;0.058
01/11/2009;0.033;0.075;0.024;0;0.025
01/12/2009;0.017;0.013;0.05;0.067;0.082
01/01/2010;0.007;0.072;0.029;0.043;0.024
01/02/2010;0.196;0.036;0.01;-0.003;-0.033
01/03/2010;0.163;0.043;0.022;-0.023;-0.004
01/04/2010;-0.017;0.003;-0.038;-0.022;0.006
01/05/2010;-0.119;-0.055;-0.032;-0.038;-0.044
01/06/2010;-0.06;-0.061;-0.059;-0.052;-0.049
01/07/2010;0.023;0.013;0.014;0.041;0.018
01/08/2010;0.057;0.053;0.083;0.078;0.074
01/09/2010;0.067;-0.001;0.05;0.008;-0.016
01/10/2010;0.066;0.014;0.011;0.027;0.014
01/11/2010;-0.002;0.058;0.053;0.042;0.029
01/12/2010;-0.015;0.011;0.017;-0.015;-0.019
01/01/2011;-0.014;0.002;0.026;0.016;-0.006
01/02/2011;-0.059;-0.02;-0.03;-0.057;-0.038
01/03/2011;-0.033;-0.003;-0.026;-0.027;-0.03
01/04/2011;-0.001;0.005;0.035;0.047;0.035
01/05/2011;0.011;-0.011;-0.023;-0.01;-0.039
01/06/2011;-0.035;-0.043;-0.015;-0.002;-0.001
01/07/2011;0.072;0.014;0.015;-0.015;-0.018
01/08/2011;-0.031;-0.046;-0.051;-0.067;-0.071
01/09/2011;-0.07;-0.038;0;0.003;0.014
01/10/2011;-0.045;-0.054;-0.079;-0.097;-0.089
01/11/2011;-0.009;0.02;0.072;0.082;0.096
01/12/2011;-0.067;-0.02;-0.008;0.007;0.001
01/01/2012;-0.034;0.01;0.022;0.027;0.014
01/02/2012;0.057;0.041;0.068;0.073;0.042
01/03/2012;0.018;0.051;0.062;0.049;0.065
01/04/2012;-0.032;0.014;0.035;0.007;0.013
01/05/2012;-0.052;-0.032;-0.038;-0.04;-0.015
01/06/2012;-0.082;-0.085;-0.093;-0.074;-0.084
01/07/2012;-0.081;-0.007;0.023;0.022;0.011
01/08/2012;0.018;0.014;0.044;0.02;0.018
01/09/2012;0.017;0.016;0.054;0.02;0.008
01/10/2012;0.041;0.017;0.036;0.018;0.009
01/11/2012;-0.001;0.008;-0.013;0.012;-0.012
01/12/2012;-0.035;-0.017;-0.012;-0.011;0.023
01/01/2013;0.022;0.011;0.062;0.052;0.001
01/02/2013;0.045;0.034;0.001;0.002;-0.01
01/03/2013;-0.028;0.007;-0.027;-0.026;0.001
01/04/2013;0.011;0.023;-0.036;-0.013;0.03
01/05/2013;-0.04;-0.015;-0.057;-0.031;-0.002
01/06/2013;-0.006;-0.022;-0.026;-0.003;0.07
01/07/2013;-0.057;-0.101;-0.122;-0.073;0.02
01/08/2013;0.003;0.015;0;0.026;0.058
01/09/2013;0.018;-0.02;0.013;-0.007;-0.011
01/10/2013;0.079;0.023;0.029;0.047;-0.029
01/11/2013;0.041;0.028;-0.001;0.018;0.074
01/12/2013;-0.022;-0.028;-0.044;-0.014;0.03
01/01/2014;0.028;-0.009;-0.02;-0.024;0.027
01/02/2014;-0.022;-0.062;-0.078;-0.083;-0.044
01/03/2014;-0.022;-0.015;-0.002;0.008;0.004
01/04/2014;0.04;-0.007;0.029;0.014;-0.009
01/05/2014;-0.05;-0.023;-0.004;0.028;-0.018
01/06/2014;0.017;0.009;0.016;0.009;0.026
01/07/2014;0.008;0.006;0.015;0.018;-0.006
01/08/2014;0.03;-0.014;-0.01;0.009;0.005
01/09/2014;-0.031;0.003;0.082;0.043;0.037
01/10/2014;-0.03;-0.091;-0.106;-0.082;0.042
01/11/2014;-0.059;-0.042;-0.003;-0.004;0.048
01/12/2014;-0.03;-0.009;-0.018;-0.029;0.032
01/01/2015;-0.044;-0.073;-0.048;-0.042;0.019
01/02/2015;-0.055;-0.078;-0.088;-0.019;-0.008
01/03/2015;0.015;0.002;0.008;0.064;0.111
01/04/2015;-0.008;0.001;0.007;0.036;0.03
01/05/2015;0.017;0.031;0.062;0.045;0.007
01/06/2015;-0.004;-0.018;-0.036;-0.04;0.018
01/07/2015;-0.042;-0.043;-0.017;-0.047;-0.024
01/08/2015;-0.022;-0.072;-0.05;-0.03;0.1
01/09/2015;-0.078;-0.089;-0.088;-0.075;-0.006
01/10/2015;0.006;0.004;-0.018;0.003;0.065
01/11/2015;0.026;0.015;0.056;0.058;0.035
01/12/2015;-0.034;-0.029;-0.046;-0.032;0.008
01/01/2016;-0.013;0.036;-0.053;-0.06;-0.009
01/02/2016;-0.013;-0.036;-0.018;-0.02;-0.05
01/03/2016;0.064;0.081;0.07;0.042;-0.001
01/04/2016;0.086;0.1;0.117;0.081;-0.041
01/05/2016;0.024;0.055;0.062;0.011;-0.006
